query_id	emonym	cryptoclass	construction_type	classifier_pattern	variant	window	co_terms	status
liq-miedo-fluir-ar	miedo	Res Liquidae	verbal-subject-intransitive	fluir	AR	4	miedo|fluir	pending
liq-miedo-fluir-bo	miedo	Res Liquidae	verbal-subject-intransitive	fluir	BO	4	miedo|fluir	pending
liq-miedo-fluir-cl	miedo	Res Liquidae	verbal-subject-intransitive	fluir	CL	4	miedo|fluir	pending
liq-miedo-fluir-co	miedo	Res Liquidae	verbal-subject-intransitive	fluir	CO	4	miedo|fluir	pending
liq-miedo-fluir-cr	miedo	Res Liquidae	verbal-subject-intransitive	fluir	CR	4	miedo|fluir	pending
liq-miedo-fluir-cu	miedo	Res Liquidae	verbal-subject-intransitive	fluir	CU	4	miedo|fluir	pending
liq-miedo-fluir-do	miedo	Res Liquidae	verbal-subject-intransitive	fluir	DO	4	miedo|fluir	pending
liq-miedo-fluir-ec	miedo	Res Liquidae	verbal-subject-intransitive	fluir	EC	4	miedo|fluir	pending
liq-miedo-fluir-es	miedo	Res Liquidae	verbal-subject-intransitive	fluir	ES	4	miedo|fluir	pending
liq-miedo-fluir-gt	miedo	Res Liquidae	verbal-subject-intransitive	fluir	GT	4	miedo|fluir	pending
liq-miedo-fluir-hn	miedo	Res Liquidae	verbal-subject-intransitive	fluir	HN	4	miedo|fluir	pending
liq-miedo-fluir-mx	miedo	Res Liquidae	verbal-subject-intransitive	fluir	MX	4	miedo|fluir	pending
liq-miedo-fluir-ni	miedo	Res Liquidae	verbal-subject-intransitive	fluir	NI	4	miedo|fluir	pending
liq-miedo-fluir-pa	miedo	Res Liquidae	verbal-subject-intransitive	fluir	PA	4	miedo|fluir	pending
liq-miedo-fluir-pe	miedo	Res Liquidae	verbal-subject-intransitive	fluir	PE	4	miedo|fluir	pending
liq-miedo-fluir-pr	miedo	Res Liquidae	verbal-subject-intransitive	fluir	PR	4	miedo|fluir	pending
liq-miedo-fluir-py	miedo	Res Liquidae	verbal-subject-intransitive	fluir	PY	4	miedo|fluir	pending
liq-miedo-fluir-sv	miedo	Res Liquidae	verbal-subject-intransitive	fluir	SV	4	miedo|fluir	pending
liq-miedo-fluir-uy	miedo	Res Liquidae	verbal-subject-intransitive	fluir	UY	4	miedo|fluir	pending
liq-miedo-fluir-ve	miedo	Res Liquidae	verbal-subject-intransitive	fluir	VE	4	miedo|fluir	pending
liq-miedo-fluir-us	miedo	Res Liquidae	verbal-subject-intransitive	fluir	US	4	miedo|fluir	pending
liq-miedo-brotar-ar	miedo	Res Liquidae	verbal-subject-intransitive	brotar	AR	4	miedo|brotar	pending
liq-miedo-brotar-bo	miedo	Res Liquidae	verbal-subject-intransitive	brotar	BO	4	miedo|brotar	pending
liq-miedo-brotar-cl	miedo	Res Liquidae	verbal-subject-intransitive	brotar	CL	4	miedo|brotar	pending
liq-miedo-brotar-co	miedo	Res Liquidae	verbal-subject-intransitive	brotar	CO	4	miedo|brotar	pending
liq-miedo-brotar-cr	miedo	Res Liquidae	verbal-subject-intransitive	brotar	CR	4	miedo|brotar	pending
liq-miedo-brotar-cu	miedo	Res Liquidae	verbal-subject-intransitive	brotar	CU	4	miedo|brotar	pending
liq-miedo-brotar-do	miedo	Res Liquidae	verbal-subject-intransitive	brotar	DO	4	miedo|brotar	pending
liq-miedo-brotar-ec	miedo	Res Liquidae	verbal-subject-intransitive	brotar	EC	4	miedo|brotar	pending
liq-miedo-brotar-es	miedo	Res Liquidae	verbal-subject-intransitive	brotar	ES	4	miedo|brotar	pending
liq-miedo-brotar-gt	miedo	Res Liquidae	verbal-subject-intransitive	brotar	GT	4	miedo|brotar	pending
liq-miedo-brotar-hn	miedo	Res Liquidae	verbal-subject-intransitive	brotar	HN	4	miedo|brotar	pending
liq-miedo-brotar-mx	miedo	Res Liquidae	verbal-subject-intransitive	brotar	MX	4	miedo|brotar	pending
liq-miedo-brotar-ni	miedo	Res Liquidae	verbal-subject-intransitive	brotar	NI	4	miedo|brotar	pending
liq-miedo-brotar-pa	miedo	Res Liquidae	verbal-subject-intransitive	brotar	PA	4	miedo|brotar	pending
liq-miedo-brotar-pe	miedo	Res Liquidae	verbal-subject-intransitive	brotar	PE	4	miedo|brotar	pending
liq-miedo-brotar-pr	miedo	Res Liquidae	verbal-subject-intransitive	brotar	PR	4	miedo|brotar	pending
liq-miedo-brotar-py	miedo	Res Liquidae	verbal-subject-intransitive	brotar	PY	4	miedo|brotar	pending
liq-miedo-brotar-sv	miedo	Res Liquidae	verbal-subject-intransitive	brotar	SV	4	miedo|brotar	pending
liq-miedo-brotar-uy	miedo	Res Liquidae	verbal-subject-intransitive	brotar	UY	4	miedo|brotar	pending
liq-miedo-brotar-ve	miedo	Res Liquidae	verbal-subject-intransitive	brotar	VE	4	miedo|brotar	pending
liq-miedo-brotar-us	miedo	Res Liquidae	verbal-subject-intransitive	brotar	US	4	miedo|brotar	pending
liq-miedo-rebosar-ar	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	AR	4	miedo|rebosar	pending
liq-miedo-rebosar-bo	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	BO	4	miedo|rebosar	pending
liq-miedo-rebosar-cl	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	CL	4	miedo|rebosar	pending
liq-miedo-rebosar-co	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	CO	4	miedo|rebosar	pending
liq-miedo-rebosar-cr	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	CR	4	miedo|rebosar	pending
liq-miedo-rebosar-cu	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	CU	4	miedo|rebosar	pending
liq-miedo-rebosar-do	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	DO	4	miedo|rebosar	pending
liq-miedo-rebosar-ec	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	EC	4	miedo|rebosar	pending
liq-miedo-rebosar-es	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	ES	4	miedo|rebosar	pending
liq-miedo-rebosar-gt	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	GT	4	miedo|rebosar	pending
liq-miedo-rebosar-hn	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	HN	4	miedo|rebosar	pending
liq-miedo-rebosar-mx	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	MX	4	miedo|rebosar	pending
liq-miedo-rebosar-ni	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	NI	4	miedo|rebosar	pending
liq-miedo-rebosar-pa	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	PA	4	miedo|rebosar	pending
liq-miedo-rebosar-pe	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	PE	4	miedo|rebosar	pending
liq-miedo-rebosar-pr	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	PR	4	miedo|rebosar	pending
liq-miedo-rebosar-py	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	PY	4	miedo|rebosar	pending
liq-miedo-rebosar-sv	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	SV	4	miedo|rebosar	pending
liq-miedo-rebosar-uy	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	UY	4	miedo|rebosar	pending
liq-miedo-rebosar-ve	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	VE	4	miedo|rebosar	pending
liq-miedo-rebosar-us	miedo	Res Liquidae	verbal-subject-intransitive	rebosar	US	4	miedo|rebosar	pending
liq-miedo-diluirse-ar	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	AR	4	miedo|diluirse	pending
liq-miedo-diluirse-bo	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	BO	4	miedo|diluirse	pending
liq-miedo-diluirse-cl	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	CL	4	miedo|diluirse	pending
liq-miedo-diluirse-co	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	CO	4	miedo|diluirse	pending
liq-miedo-diluirse-cr	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	CR	4	miedo|diluirse	pending
liq-miedo-diluirse-cu	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	CU	4	miedo|diluirse	pending
liq-miedo-diluirse-do	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	DO	4	miedo|diluirse	pending
liq-miedo-diluirse-ec	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	EC	4	miedo|diluirse	pending
liq-miedo-diluirse-es	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	ES	4	miedo|diluirse	pending
liq-miedo-diluirse-gt	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	GT	4	miedo|diluirse	pending
liq-miedo-diluirse-hn	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	HN	4	miedo|diluirse	pending
liq-miedo-diluirse-mx	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	MX	4	miedo|diluirse	pending
liq-miedo-diluirse-ni	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	NI	4	miedo|diluirse	pending
