id	from_emonym	to_emonym	cryptoclass	classifier_lemma	reason	citation_es
rot-miedo-do-0002	miedo	tristeza	Res Rotundae	círculo de	mis-filed: citation is about tristeza (círculo de tristeza)	evitando entrar en ese círculo de tristeza y baja estima, que te paraliza
rot-miedo-es-0009	miedo	tristeza	Res Rotundae	círculo de	mis-filed: citation is about tristeza (círculo de tristeza)	romperemos el círculo vicioso de tristeza y depresión.
rot-miedo-es-0010	miedo	tristeza	Res Rotundae	círculo de	mis-filed: citation is about tristeza (círculo de tristeza)	ha salido de el " círculo de tristeza "
rot-miedo-mx-0011	miedo	tristeza	Res Rotundae	círculo de	mis-filed: citation is about tristeza (círculo de tristeza)	nos anclan a un recuerdo y a un círculo vicioso de tristeza.
rot-miedo-us-0004	miedo	tristeza	Res Rotundae	círculo de	mis-filed: citation is about tristeza (círculo de tristeza)	salir de el círculo de tristeza en el que estab
rot-miedo-us-0005	miedo	tristeza	Res Rotundae	círculo de	mis-filed: citation is about tristeza (círculo de tristeza)	la encerró en un " círculo " de tristeza. "
rot-miedo-us-0006	miedo	tristeza	Res Rotundae	círculo de	mis-filed: citation is about tristeza (círculo de tristeza)	a salir de el círculo de tristeza que la abrazaba
rot-miedo-us-0007	miedo	tristeza	Res Rotundae	círculo de	mis-filed: citation is about tristeza (círculo de tristeza)	salir de ese círculo vicioso de tristeza y pesimismo en el que están metido
rot-miedo-us-0008	miedo	tristeza	Res Rotundae	círculo de	mis-filed: citation is about tristeza (círculo de tristeza)	salir de su círculo de pesadumbre, tristezas y lamentos
rot-miedo-co-0005	miedo	ira	Res Rotundae	envuelto en	mis-filed: citation is about ira (envuelto en ira)	cuando uno de los acuerpados hombres desenfundó una cuchilla y envuelto en ira la enterró en el corazón de Rubio,
rot-miedo-co-0006	miedo	ira	Res Rotundae	envuelto en	mis-filed: citation is about ira (envuelto en ira)	por ser presa o hallar se envueltos en ira suprema
