id	cryptoclass	emonym	country	construction_type	classifier_lemma	citation_es	source_file	source_sheet	source_locator	exclusion_reason
fil-tristeza-ar-0006	Res Filiformes	tristeza	AR	verbal-objective		,  " Enrollé tu amor alrededor de mí como una cadena	Res Filiformes.xlsx	tristeza	B2	non-citation-fragment: blank lemma + no emonym token
fil-tristeza-gt-0001	Res Filiformes	tristeza	GT	verbal-objective		crecer nos el alma y recrear nos con la vida, enhebrar obras de amor	Res Filiformes.xlsx	tristeza	B11	non-citation-fragment: blank lemma + no emonym token
pla-tristeza-ar-0003	Res Planae	tristeza	AR	substantive	nivel de	Ellos vienen con un nivel de tristeza muy grande,	Res Planae.xlsx	TRISTEZA	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-tristeza-ar-0004	Res Planae	tristeza	AR	substantive	nivel de	es que crece su nivel de tristeza	Res Planae.xlsx	TRISTEZA	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-tristeza-ar-0005	Res Planae	tristeza	AR	substantive	nivel de	l nivel de tristeza que se mostró por su muerte	Res Planae.xlsx	TRISTEZA	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-tristeza-cl-0001	Res Planae	tristeza	CL	substantive	nivel de	Pero ver a estos bebés tan enfermos es otro nivel de tristeza	Res Planae.xlsx	TRISTEZA	E4	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-tristeza-co-0001	Res Planae	tristeza	CO	substantive	nivel de	epende también de el grado o nivel de tristeza, si estamos hablando de un cuadro clínico de depresión	Res Planae.xlsx	TRISTEZA	E5	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-tristeza-cr-0001	Res Planae	tristeza	CR	substantive	nivel de	no todas las personas tienen el mismo nivel de tristeza	Res Planae.xlsx	TRISTEZA	E6	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-tristeza-es-0002	Res Planae	tristeza	ES	substantive	nivel de	el nivel de tristeza se vuelve insoportable.	Res Planae.xlsx	TRISTEZA	E10	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-tristeza-es-0003	Res Planae	tristeza	ES	substantive	nivel de	un importantísimo nivel de tristeza	Res Planae.xlsx	TRISTEZA	E10	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-tristeza-mx-0001	Res Planae	tristeza	MX	substantive	nivel de	se puede incrementar el nivel de tristeza o la intensidad de la tristeza	Res Planae.xlsx	TRISTEZA	E13	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-tristeza-pe-0001	Res Planae	tristeza	PE	substantive	nivel de	ero ver a estos bebés tan enfermos es otro nivel de tristeza.	Res Planae.xlsx	TRISTEZA	E16	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-tristeza-pr-0001	Res Planae	tristeza	PR	substantive	nivel de	podemos adivinar el nivel de depresión y tristeza	Res Planae.xlsx	TRISTEZA	E17	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-tristeza-py-0001	Res Planae	tristeza	PY	substantive	nivel de	, se obtendría el nivel de tristeza o preocupación social promedio	Res Planae.xlsx	TRISTEZA	E18	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-tristeza-us-0001	Res Planae	tristeza	US	substantive	nivel de	investigación de Stephen Follows mostró un nivel de tristeza superior a el promedio	Res Planae.xlsx	TRISTEZA	E22	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-tristeza-us-0002	Res Planae	tristeza	US	substantive	nivel de	da cuenta de que su pareja ya no está en un nivel de tristeza profunda, sino más abajo aún	Res Planae.xlsx	TRISTEZA	E22	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-tristeza-us-0003	Res Planae	tristeza	US	substantive	nivel de	me ha sumido en el más profundo nivel de tristeza por la oportunidad perdid	Res Planae.xlsx	TRISTEZA	E22	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-tristeza-ve-0001	Res Planae	tristeza	VE	substantive	nivel de	aumenta el nivel de tristeza, indiferencia o frialdad en la gente	Res Planae.xlsx	TRISTEZA	E21	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
rot-miedo-do-0002	Res Rotundae	tristeza	DO	substantive	círculo de	evitando entrar en ese círculo de tristeza y baja estima, que te paraliza	Res Rotundae.xlsx	MIEDO	F8	frozen-collocation: círculo (vicioso) de — cycle idiom, not round-object image
rot-miedo-es-0009	Res Rotundae	tristeza	ES	substantive	círculo de	romperemos el círculo vicioso de tristeza y depresión.	Res Rotundae.xlsx	MIEDO	F10	frozen-collocation: círculo (vicioso) de — cycle idiom, not round-object image
rot-miedo-es-0010	Res Rotundae	tristeza	ES	substantive	círculo de	ha salido de el " círculo de tristeza "	Res Rotundae.xlsx	MIEDO	F10	frozen-collocation: círculo (vicioso) de — cycle idiom, not round-object image
rot-miedo-mx-0011	Res Rotundae	tristeza	MX	substantive	círculo de	nos anclan a un recuerdo y a un círculo vicioso de tristeza.	Res Rotundae.xlsx	MIEDO	F13	frozen-collocation: círculo (vicioso) de — cycle idiom, not round-object image
