id	cryptoclass	emonym	country	construction_type	classifier_lemma	citation_es	source	source_file	source_sheet	source_locator
acu-tristeza-ar-0001	Res Acutae	tristeza	AR	attributive	agudo	una aguda tristeza otoñal	manual	Res Acutae.xlsx	TRISTEZA	F2
acu-tristeza-cl-0001	Res Acutae	tristeza	CL	attributive	agudo	tristeza aguda, decaimiento y desgano principalmente en las mañanas,	manual	Res Acutae.xlsx	TRISTEZA	F4
acu-tristeza-cl-0002	Res Acutae	tristeza	CL	predicative		La tristeza se hizo más aguda en el caso de Andrés Iniesta,	manual	Res Acutae.xlsx	TRISTEZA	G4
acu-tristeza-co-0001	Res Acutae	tristeza	CO	attributive	agudo	l mundo visto a través de aquella tristeza aguda me parecía nítido	manual	Res Acutae.xlsx	TRISTEZA	F5
acu-tristeza-co-0002	Res Acutae	tristeza	CO	attributive	agudo	con ideas de muerte y tristeza aguda	manual	Res Acutae.xlsx	TRISTEZA	F5
acu-tristeza-co-0003	Res Acutae	tristeza	CO	attributive	agudo	cambio de estados de ánimo de manera frecuente o tristeza aguda a raíz de pérdidas o problemas	manual	Res Acutae.xlsx	TRISTEZA	F5
acu-tristeza-es-0001	Res Acutae	tristeza	ES	attributive	agudo	Se reflejaba la aguda tristeza de esta determinación	manual	Res Acutae.xlsx	TRISTEZA	F10
acu-tristeza-mx-0001	Res Acutae	tristeza	MX	attributive	agudo	la incontenible alegría con el' Noa Noa' hasta la tristeza más aguda con' Amor Eterno	manual	Res Acutae.xlsx	TRISTEZA	F13
acu-tristeza-pr-0001	Res Acutae	tristeza	PR	verbal-subject-transitive		Pero ya es una rutina. Cuando son periodos largos, pica la tristeza. #	manual	Res Acutae.xlsx	TRISTEZA	B17
acu-tristeza-pr-0002	Res Acutae	tristeza	PR	attributive	agudo	le den sentido a tristezas agudas en caso de pérdidas	manual	Res Acutae.xlsx	TRISTEZA	F17
acu-tristeza-us-0001	Res Acutae	tristeza	US	attributive	agudo	! # La observó con aguda tristeza.	manual	Res Acutae.xlsx	TRISTEZA	F22
