id	cryptoclass	emonym	country	construction_type	classifier_lemma	citation_es	source	source_file	source_sheet	source_locator
acu-amor-ar-0001	Res Acutae	amor	AR	verbal-subject-transitive		Además de el bichito de el amor, a muchos les pica la necesidad de decorar con plantas y flores	manual	Res Acutae.xlsx	AMOR	B2
acu-amor-ar-0002	Res Acutae	amor	AR	verbal-subject-transitive		ese " bichito " que pica a el que llaman amor.	manual	Res Acutae.xlsx	AMOR	B2
acu-amor-ar-0003	Res Acutae	amor	AR	attributive	agudo	el amor es más agudo que el odio	manual	Res Acutae.xlsx	AMOR	F2
acu-amor-bo-0001	Res Acutae	amor	BO	verbal-subject-transitive		algún momento picará el bichito de amor.	manual	Res Acutae.xlsx	AMOR	B3
acu-amor-cl-0001	Res Acutae	amor	CL	verbal-subject-transitive		adie puede ser malo cuando le viene picando el bichito de el amor	manual	Res Acutae.xlsx	AMOR	B4
acu-amor-cl-0002	Res Acutae	amor	CL	attributive	agudo	" el agudo aguijón de el amor	manual	Res Acutae.xlsx	AMOR	F4
acu-amor-co-0001	Res Acutae	amor	CO	verbal-subject-transitive		el' bichito' de el amor le ha vuelto a picar	manual	Res Acutae.xlsx	AMOR	B5
acu-amor-co-0002	Res Acutae	amor	CO	verbal-subject-transitive		n qué momento lo picó ese amor por las letras	manual	Res Acutae.xlsx	AMOR	B5
acu-amor-co-0003	Res Acutae	amor	CO	substantive	punta de	el proceso fue fácil, ya que la hicimos realmente sin dinero, sólo a punta de amor, esfuerzo y sacrificio.	manual	Res Acutae.xlsx	AMOR	H5
acu-amor-co-0004	Res Acutae	amor	CO	substantive	punta de	todos los padres del mundo que se han ganado a punta de amor un puesto preferencial en el corazón de sus hijos	manual	Res Acutae.xlsx	AMOR	H5
acu-amor-cr-0001	Res Acutae	amor	CR	attributive	punzante	la cama con espinosas almohadas de Amor punzante,	manual	Res Acutae.xlsx	AMOR	F6
acu-amor-cu-0001	Res Acutae	amor	CU	verbal-subject-transitive		que cuando te agarra, a eso que llaman amor, lo hace picándo te duro por el cuello.	manual	Res Acutae.xlsx	AMOR	B7
acu-amor-cu-0002	Res Acutae	amor	CU	attributive	agudo	/ Es más grave el amor, es más agudo.	manual	Res Acutae.xlsx	AMOR	F7
acu-amor-es-0001	Res Acutae	amor	ES	attributive	punzante	No un amor punzante y afilado, como en' El secreto de sus ojos'	manual	Res Acutae.xlsx	AMOR	F10
acu-amor-mx-0001	Res Acutae	amor	MX	attributive	punzante	a Universidad Iberoamericana de Torreón nos regala un acto de amor punzante que fluye por nuestras arterias con dolor	manual	Res Acutae.xlsx	AMOR	F13
acu-amor-mx-0002	Res Acutae	amor	MX	substantive	punta de	asta en su forma de querer curar mi llanto a punta de amor.	manual	Res Acutae.xlsx	AMOR	H13
acu-amor-pa-0001	Res Acutae	amor	PA	verbal-subject-transitive		Cuando te pica el amor, te pica	manual	Res Acutae.xlsx	AMOR	B15
acu-amor-pa-0002	Res Acutae	amor	PA	substantive	punta de	y es que a punta de amor regresas a Panamá gial	manual	Res Acutae.xlsx	AMOR	H15
acu-amor-py-0001	Res Acutae	amor	PY	verbal-subject-transitive		Si te picó el bichito de el amor, en tu playlist se hacen presentes la músic	manual	Res Acutae.xlsx	AMOR	B18
acu-amor-ve-0001	Res Acutae	amor	VE	verbal-subject-transitive		El amor pica y se extiende	manual	Res Acutae.xlsx	AMOR	B21
con-amor-ar-0001	Res Continens	amor	AR	verbal-objective	tapar	están tapando el verdadero amor	manual	RES CONTINENS.xlsx	amor	B2
con-amor-ar-0002	Res Continens	amor	AR	verbal-objective	destapar	¿ Se destapó el amor?	manual	RES CONTINENS.xlsx	amor	B2
con-amor-ar-0003	Res Continens	amor	AR	verbal-subject-intransitive		se tapa la tristeza, la amargurano se tapa el amor ni la voluntad de hacer cosas	manual	RES CONTINENS.xlsx	amor	C2
con-amor-ar-0004	Res Continens	amor	AR	verbal-subject-transitive	contener	el amor contiene en su seno la traición como un elemento constitutivo	manual	RES CONTINENS.xlsx	amor	D2
con-amor-ar-0005	Res Continens	amor	AR	verbal-locative-state	dentro de	dentro de el amor la actriz tiene una larga lista de matrimonios y romances	manual	RES CONTINENS.xlsx	amor	E2
con-amor-ar-0006	Res Continens	amor	AR	verbal-locative-state	dentro de	Dentro de el amor está la compasión, preocupar se por el otro, la justicia socia	manual	RES CONTINENS.xlsx	amor	E2
con-amor-ar-0007	Res Continens	amor	AR	verbal-locative-state	dentro de	el drama dentro de el amor también es sumamente importante	manual	RES CONTINENS.xlsx	amor	E2
con-amor-ar-0008	Res Continens	amor	AR	verbal-locative-state	dentro de	Hasta entre los apóstoles hubo diferencias, pero todas dentro de el amor a Cristo y siguiendo sus enseñanzas	manual	RES CONTINENS.xlsx	amor	E2
con-amor-ar-0010	Res Continens	amor	AR	verbal-locative-state	encontrarse en	encontrar en el amor el camino para salir " del fondo	manual	RES CONTINENS.xlsx	amor	E2
con-amor-ar-0011	Res Continens	amor	AR	verbal-locative-state	encontrarse en	las mujeres encuentran en el amor esa posición, ese lugar social que les permite ser alguien	manual	RES CONTINENS.xlsx	amor	E2
con-amor-ar-0012	Res Continens	amor	AR	verbal-locative-state	encontrarse en	el delantero encontró en el amor un sostén incondiciona	manual	RES CONTINENS.xlsx	amor	E2
con-amor-ar-0013	Res Continens	amor	AR	verbal-locative-state	encontrarse en	nos encontramos en el amor y la unidad de Dios	manual	RES CONTINENS.xlsx	amor	E2
con-amor-ar-0014	Res Continens	amor	AR	verbal-locative-state	encontrarse en	encontramos en el amor la llave a el sosiego	manual	RES CONTINENS.xlsx	amor	E2
con-amor-ar-0015	Res Continens	amor	AR	verbal-locative-state	encontrarse en	Ana encuentra en el amor y la maternidad un resquicio donde se disipan las brumas	manual	RES CONTINENS.xlsx	amor	E2
con-amor-ar-0016	Res Continens	amor	AR	verbal-locative-into	caer en	la locura que nos afectaría si cayéramos en el amor romántico	manual	RES CONTINENS.xlsx	amor	F2
con-amor-ar-0017	Res Continens	amor	AR	verbal-locative-into	caer en	no caigas en un amor egoísta por ti mismo.	manual	RES CONTINENS.xlsx	amor	F2
con-amor-ar-0018	Res Continens	amor	AR	attributive	destapado	amores ocultos destapados en el fulgor de la fiest	manual	RES CONTINENS.xlsx	amor	G2
con-amor-ar-0019	Res Continens	amor	AR	attributive	lleno de	. Un amor llamado " inflación ", Un amor lleno de Hiperinflación	manual	RES CONTINENS.xlsx	amor	G2
con-amor-ar-0020	Res Continens	amor	AR	attributive	lleno de	un amor lleno de felicidad;	manual	RES CONTINENS.xlsx	amor	G2
con-amor-ar-0021	Res Continens	amor	AR	attributive	lleno de	un amor lleno de ternura.	manual	RES CONTINENS.xlsx	amor	G2
con-amor-ar-0022	Res Continens	amor	AR	attributive	lleno de	tener un amor lleno de ternura con los que te rodean,	manual	RES CONTINENS.xlsx	amor	G2
con-amor-ar-0023	Res Continens	amor	AR	predicative	está lleno de	El amor está lleno de ansiedades, de dudas.	manual	RES CONTINENS.xlsx	amor	H2
con-amor-ar-0024	Res Continens	amor	AR	predicative	está lleno de	El amor está lleno de supersticiones que no resisten la luz de el día.	manual	RES CONTINENS.xlsx	amor	H2
con-amor-ar-0025	Res Continens	amor	AR	predicative	está lleno de	El verdadero amor está lleno de vida cotidiana	manual	RES CONTINENS.xlsx	amor	H2
con-amor-bo-0001	Res Continens	amor	BO	attributive	lleno de	amor lleno de pureza.	manual	RES CONTINENS.xlsx	amor	G3
con-amor-cl-0001	Res Continens	amor	CL	verbal-subject-transitive	contener	El amor contiene su propia poesía y su plena justificación	manual	RES CONTINENS.xlsx	amor	D4
con-amor-cl-0002	Res Continens	amor	CL	attributive	lleno de	un amor lleno de aventuras y nuevas experiencias a pesar de la distanci	manual	RES CONTINENS.xlsx	amor	G4
con-amor-co-0001	Res Continens	amor	CO	verbal-subject-intransitive		El amor no se tapa, el amor es como el sol	manual	RES CONTINENS.xlsx	amor	C5
con-amor-co-0002	Res Continens	amor	CO	verbal-locative-state	dentro de	está dentro de el amor romántico la promesa de sumisión que alimenta la violencia contra una mujer.	manual	RES CONTINENS.xlsx	amor	E5
con-amor-co-0004	Res Continens	amor	CO	verbal-locative-state	encontrarse en	Un componente importante de la relación entre padres e hijos se encuentra en el amor y cuidado	manual	RES CONTINENS.xlsx	amor	E5
con-amor-co-0005	Res Continens	amor	CO	verbal-locative-state	encontrarse en	el artista encuentra en el amor más que una musa	manual	RES CONTINENS.xlsx	amor	E5
con-amor-co-0006	Res Continens	amor	CO	verbal-locative-state	encontrarse en	encontró en el amor el camino a la satisfacción	manual	RES CONTINENS.xlsx	amor	E5
con-amor-co-0007	Res Continens	amor	CO	verbal-locative-state	encontrarse en	Encuentras en el amor todo lo que necesitas	manual	RES CONTINENS.xlsx	amor	E5
con-amor-co-0008	Res Continens	amor	CO	verbal-locative-into	caer en	caer en el amor es difícil.	manual	RES CONTINENS.xlsx	amor	F5
con-amor-co-0009	Res Continens	amor	CO	attributive	lleno de	demuestran su amor lleno de ternura, complicidad, besos y caricia	manual	RES CONTINENS.xlsx	amor	G5
con-amor-co-0010	Res Continens	amor	CO	attributive	lleno de	amor lleno de peligros, intenciones ocultas y mucha pasión	manual	RES CONTINENS.xlsx	amor	G5
con-amor-co-0011	Res Continens	amor	CO	predicative		el amor estará lleno de ternura.	manual	RES CONTINENS.xlsx	amor	H5
con-amor-co-0012	Res Continens	amor	CO	predicative	está lleno de	Mi amor está lleno de rarezas, de obstáculos, de originalidades	manual	RES CONTINENS.xlsx	amor	H5
con-amor-co-0013	Res Continens	amor	CO	predicative		el amor está llena de resonancias de Vértigo.	manual	RES CONTINENS.xlsx	amor	H5
con-amor-co-0014	Res Continens	amor	CO	predicative		El amor estará lleno de detalles y manifestaciones de cariño	manual	RES CONTINENS.xlsx	amor	H5
con-amor-co-0015	Res Continens	amor	CO	predicative	está lleno de	El amor está lleno de reliquias	manual	RES CONTINENS.xlsx	amor	H5
con-amor-cu-0001	Res Continens	amor	CU	verbal-subject-intransitive		se hicieron cortos entre tanto café, ruedas de casino y amores que se destaparon en las lomas, lejos de la presión de la ciudad.	manual	RES CONTINENS.xlsx	amor	C7
con-amor-cu-0002	Res Continens	amor	CU	verbal-locative-state	dentro de	cuánta fuerza y maravilla habitan dentro de el amor.	manual	RES CONTINENS.xlsx	amor	E7
con-amor-cu-0003	Res Continens	amor	CU	attributive	lleno de	un amor lleno de sangre valiente	manual	RES CONTINENS.xlsx	amor	G7
con-amor-do-0001	Res Continens	amor	DO	attributive	lleno de	viven amores llenos de trabas, oposiciones, envidia	manual	RES CONTINENS.xlsx	amor	G8
con-amor-ec-0001	Res Continens	amor	EC	verbal-locative-state	encontrarse en	Encuentra en el amor la salvación	manual	RES CONTINENS.xlsx	amor	E9
con-amor-ec-0002	Res Continens	amor	EC	verbal-locative-into	caer en	en la Carrera de Campeones cayeron en el amor con el evento.	manual	RES CONTINENS.xlsx	amor	F9
con-amor-ec-0003	Res Continens	amor	EC	attributive	lleno de	el amor lleno de reencuentros.	manual	RES CONTINENS.xlsx	amor	G9
con-amor-ec-0004	Res Continens	amor	EC	predicative		amor esté lleno de plástico lanzado por el hombre y de algo más doloroso, cadáveres y juguetes	manual	RES CONTINENS.xlsx	amor	H9
con-amor-es-0001	Res Continens	amor	ES	verbal-objective	tapar	no hay hormigón suficiente que tape el amor de la gent	manual	RES CONTINENS.xlsx	amor	B10
con-amor-es-0002	Res Continens	amor	ES	verbal-objective	tapar	las nubes taparon a su amor	manual	RES CONTINENS.xlsx	amor	B10
con-amor-es-0003	Res Continens	amor	ES	verbal-objective	destapar	3(  Destapan amores de el expresidente	manual	RES CONTINENS.xlsx	amor	B10
con-amor-es-0004	Res Continens	amor	ES	verbal-locative-state	encontrarse en	En el amor encontró la solución a su problema etílico	manual	RES CONTINENS.xlsx	amor	E10
con-amor-es-0005	Res Continens	amor	ES	verbal-locative-state	encontrarse en	2)La raíz de todo se encuentra en el amor.	manual	RES CONTINENS.xlsx	amor	E10
con-amor-es-0006	Res Continens	amor	ES	verbal-locative-state	encontrarse en	goce del amor que buscaba infructuosamente en las relaciones lo he encontrado en el amor a mi criatura.	manual	RES CONTINENS.xlsx	amor	E10
con-amor-es-0007	Res Continens	amor	ES	verbal-locative-state	estar en	La hipocresía en el amor aparece cuando uno no quiere perder aquello que no está dispuesto a cuida	manual	RES CONTINENS.xlsx	amor	E10
con-amor-es-0008	Res Continens	amor	ES	verbal-locative-into	caer en	Katie comienza a caer en el amor, ella lucha con un oscuro secreto	manual	RES CONTINENS.xlsx	amor	F10
con-amor-es-0009	Res Continens	amor	ES	verbal-locative-into	caer en	Caí en el amor y pronto me convertiré en padre	manual	RES CONTINENS.xlsx	amor	F10
con-amor-es-0010	Res Continens	amor	ES	verbal-locative-into	caer en	lo único que hicieron mal fue caer en el amor	manual	RES CONTINENS.xlsx	amor	F10
con-amor-es-0011	Res Continens	amor	ES	attributive	lleno de	el amor lleno de sensualidad	manual	RES CONTINENS.xlsx	amor	G10
con-amor-es-0012	Res Continens	amor	ES	attributive	lleno de	tejen un amor lleno de intrigas y referencias a un pasado desconocido	manual	RES CONTINENS.xlsx	amor	G10
con-amor-es-0013	Res Continens	amor	ES	attributive	lleno de	' Un amor lleno de vida'	manual	RES CONTINENS.xlsx	amor	G10
con-amor-es-0014	Res Continens	amor	ES	attributive	lleno de	Es un amor lleno de pretendientes y	manual	RES CONTINENS.xlsx	amor	G10
con-amor-es-0015	Res Continens	amor	ES	attributive	lleno de	amor lleno de madurez,	manual	RES CONTINENS.xlsx	amor	G10
con-amor-es-0016	Res Continens	amor	ES	attributive	lleno de	un amor lleno de fe,	manual	RES CONTINENS.xlsx	amor	G10
con-amor-es-0017	Res Continens	amor	ES	predicative	está lleno de	El amor está lleno de contrastes.	manual	RES CONTINENS.xlsx	amor	H10
con-amor-gt-0001	Res Continens	amor	GT	attributive	lleno de	se amor lleno de satisfacciones, deseos y pasiones,	manual	RES CONTINENS.xlsx	amor	G11
con-amor-mx-0001	Res Continens	amor	MX	verbal-objective	destapar	la campaña de recolección " Juntos destapemos amor "	manual	RES CONTINENS.xlsx	amor	B13
con-amor-mx-0002	Res Continens	amor	MX	verbal-objective	destapar	los famosos decidieron usar sus redes para destapar su amor.	manual	RES CONTINENS.xlsx	amor	B13
con-amor-mx-0003	Res Continens	amor	MX	verbal-objective	destapar	Chávez destapó su amor por uno de los clubes	manual	RES CONTINENS.xlsx	amor	B13
con-amor-mx-0004	Res Continens	amor	MX	verbal-subject-intransitive		demás se destapa el gran amor que hubo entre Issabela Camil y el cantante	manual	RES CONTINENS.xlsx	amor	C13
con-amor-mx-0005	Res Continens	amor	MX	verbal-subject-transitive	contener	nuestro amor contendrá una serie de temores saludables	manual	RES CONTINENS.xlsx	amor	D13
con-amor-mx-0006	Res Continens	amor	MX	verbal-subject-transitive	contener	Nuestra música al igual que nuestro amor contiene lo más bello	manual	RES CONTINENS.xlsx	amor	D13
con-amor-mx-0007	Res Continens	amor	MX	verbal-subject-transitive	almacenar	El amor, fiereza, ritmo de la carne: cálices que almacenan sospechas.	manual	RES CONTINENS.xlsx	amor	D13
con-amor-mx-0008	Res Continens	amor	MX	verbal-subject-transitive	guardar	el amor guarda una relación estrecha con el corazón,	manual	RES CONTINENS.xlsx	amor	D13
con-amor-mx-0009	Res Continens	amor	MX	verbal-locative-state	encontrarse en	en el amor encuentras a la persona ideal	manual	RES CONTINENS.xlsx	amor	E13
con-amor-mx-0010	Res Continens	amor	MX	verbal-locative-state	existir en	En el amor existen factores que la mente no puede llegar a comprender o resignar	manual	RES CONTINENS.xlsx	amor	E13
con-amor-mx-0011	Res Continens	amor	MX	verbal-locative-state	encontrarse en	la fórmula para conseguir la felicidad; algunos lo encuentran en el amor	manual	RES CONTINENS.xlsx	amor	E13
con-amor-mx-0012	Res Continens	amor	MX	verbal-locative-state	encontrarse en	la fuerza que se encuentra en el amor	manual	RES CONTINENS.xlsx	amor	E13
con-amor-mx-0013	Res Continens	amor	MX	verbal-locative-state	encontrarse en	encuentras en el amor las partes que necesitas	manual	RES CONTINENS.xlsx	amor	E13
con-amor-mx-0014	Res Continens	amor	MX	verbal-locative-state	encontrarse en	encontrarán en el amor la fuerza necesaria	manual	RES CONTINENS.xlsx	amor	E13
con-amor-mx-0015	Res Continens	amor	MX	verbal-locative-state	encontrarse en	encuentra en el amor fraternal el impulso	manual	RES CONTINENS.xlsx	amor	E13
con-amor-mx-0016	Res Continens	amor	MX	verbal-locative-state	encontrarse en	la satisfacción que se puede encontrar en el amor	manual	RES CONTINENS.xlsx	amor	E13
con-amor-mx-0017	Res Continens	amor	MX	verbal-locative-state	encontrarse en	encontró en el amor una suerte de exorcismo	manual	RES CONTINENS.xlsx	amor	E13
con-amor-mx-0018	Res Continens	amor	MX	verbal-locative-into	caer en	la mujer con la que cayó en amores	manual	RES CONTINENS.xlsx	amor	F13
con-amor-mx-0019	Res Continens	amor	MX	verbal-locative-into	caer en	Caí en amor	manual	RES CONTINENS.xlsx	amor	F13
con-amor-mx-0020	Res Continens	amor	MX	verbal-locative-into	caer en	Pero una cosa es la promesa de no caer en el amor y otra los tonteos	manual	RES CONTINENS.xlsx	amor	F13
con-amor-mx-0021	Res Continens	amor	MX	verbal-locative-into	caer en	trata de dos mujeres jóvenes que están cayendo en el amor	manual	RES CONTINENS.xlsx	amor	F13
con-amor-mx-0022	Res Continens	amor	MX	verbal-locative-into	caer en	Puedes caer en el amor platónico	manual	RES CONTINENS.xlsx	amor	F13
con-amor-mx-0023	Res Continens	amor	MX	attributive	lleno de	Un amor lleno de verdad permite superar fanatismos peligrosos	manual	RES CONTINENS.xlsx	amor	G13
con-amor-mx-0024	Res Continens	amor	MX	attributive	lleno de	Un amor lleno de verdad	manual	RES CONTINENS.xlsx	amor	G13
con-amor-mx-0025	Res Continens	amor	MX	attributive	lleno de	su amor lleno de esperanza	manual	RES CONTINENS.xlsx	amor	G13
con-amor-mx-0026	Res Continens	amor	MX	attributive	lleno de	viven un amor lleno de obstáculos por las diferencias de clases	manual	RES CONTINENS.xlsx	amor	G13
con-amor-mx-0027	Res Continens	amor	MX	attributive		Dios, encontrado en el amor	manual	RES CONTINENS.xlsx	amor	G13
con-amor-mx-0028	Res Continens	amor	MX	predicative	está lleno de	el amor está lleno de infantilismos, pero también de sentidos profundos.	manual	RES CONTINENS.xlsx	amor	H13
con-amor-mx-0029	Res Continens	amor	MX	predicative	está lleno de	EL AMOR ESTÁ LLENO de ilusiones,	manual	RES CONTINENS.xlsx	amor	H13
con-amor-mx-0030	Res Continens	amor	MX	predicative	está lleno de	El amor está lleno de errores	manual	RES CONTINENS.xlsx	amor	H13
con-amor-mx-0031	Res Continens	amor	MX	predicative	está lleno de	Este amor está lleno de inocencia. # 7. Inalcanzable #	manual	RES CONTINENS.xlsx	amor	H13
con-amor-ni-0001	Res Continens	amor	NI	predicative		el amor están llenas de sentido	manual	RES CONTINENS.xlsx	amor	H14
con-amor-pe-0002	Res Continens	amor	PE	verbal-locative-state	encontrarse en	han encontrado en el amor filial un soporte emocional	manual	RES CONTINENS.xlsx	amor	E16
con-amor-pe-0003	Res Continens	amor	PE	verbal-locative-state	encontrarse en	Fiona Apple ha encontrado en el amor una gran fuente de inspiración	manual	RES CONTINENS.xlsx	amor	E16
con-amor-pe-0004	Res Continens	amor	PE	verbal-locative-state	encontrarse en	la salvación solo se encuentra en el amor de Dios	manual	RES CONTINENS.xlsx	amor	E16
con-amor-pe-0005	Res Continens	amor	PE	verbal-locative-into	caer en	no cae en el amor tan fácil.	manual	RES CONTINENS.xlsx	amor	F16
con-amor-pe-0006	Res Continens	amor	PE	verbal-locative-into	caer en	finalmente ambos cayeran en el amor.	manual	RES CONTINENS.xlsx	amor	F16
con-amor-pe-0007	Res Continens	amor	PE	verbal-locative-into	caer en	más difícil de convencer a caer en el amor.	manual	RES CONTINENS.xlsx	amor	F16
con-amor-pe-0008	Res Continens	amor	PE	verbal-locative-into	caer en	vas a caer en el amor con alguien que realmente disminuya tu inquietud,	manual	RES CONTINENS.xlsx	amor	F16
con-amor-pe-0009	Res Continens	amor	PE	attributive	lleno de	un amor lleno de emociones, pasión, intimidad y sexo.	manual	RES CONTINENS.xlsx	amor	G16
