id	cryptoclass	emonym	country	construction_type	classifier_lemma	citation_es	source	source_file	source_sheet	source_locator	frequency	freq_role
con-ira-ar-0001	Res Continens	ira	AR	verbal-locative-state	encontrarse en	1( Fue una manera de meter nos dentro de la ira que siente Jessica	manual	RES CONTINENS.xlsx	ira	F2	1	example
con-ira-ar-0002	Res Continens	ira	AR	verbal-locative-state	encontrarse en	2( se encuentran en la ira más de 150 miembros de la Iglesia Católica.	manual	RES CONTINENS.xlsx	ira	F2	1	example
con-ira-ar-0003	Res Continens	ira	AR	verbal-locative-state	encontrarse en	3(  podemos encontrar esa asociación en la ira inaugural de Aquiles que es también pasió	manual	RES CONTINENS.xlsx	ira	F2	1	example
con-ira-ar-0004	Res Continens	ira	AR	verbal-locative-into	caer en	recomienda frente a ello no caer en la ira, la parálisis o la victimización, sino apelar a la humi	manual	RES CONTINENS.xlsx	ira	H2	1	example
con-ira-co-0001	Res Continens	ira	CO	verbal-objective	tapar	tapar la ira de los cafeteros	manual	RES CONTINENS.xlsx	ira	B5	1	example
con-ira-co-0002	Res Continens	ira	CO	verbal-locative-state	estar en	1(  La aeronave estaba en la ira de las autoridades internacionales	manual	RES CONTINENS.xlsx	ira	F5	1	example
con-ira-co-0003	Res Continens	ira	CO	verbal-locative-state	estar en	2( el riesgo de refugiar nos en la tribu o el clan, o en la ira hacia aquellos que no se parecen a nosotros	manual	RES CONTINENS.xlsx	ira	F5	1	example
con-ira-co-0004	Res Continens	ira	CO	verbal-locative-state	estar en	estamos juntos no solo en la ira y en la indignación, sino en la solidaridad y el compromiso	manual	RES CONTINENS.xlsx	ira	F5	1	example
con-ira-co-0005	Res Continens	ira	CO	verbal-locative-into	caer en	1( No podemos caer en la ira, odio y discriminación,	manual	RES CONTINENS.xlsx	ira	H5	1	example
con-ira-co-0006	Res Continens	ira	CO	verbal-locative-into	caer en	afrontar los fracasos de manera exitosa, sin caer en la ira o la frustración	manual	RES CONTINENS.xlsx	ira	H5	1	example
con-ira-cu-0001	Res Continens	ira	CU	predicative	llenar	la ira está llena de amor furioso.	manual	RES CONTINENS.xlsx	ira	J7	1	example
con-ira-ec-0001	Res Continens	ira	EC	verbal-objective	destapar	s usuarios de redes sociales que destapan sus iras contenidas.	manual	RES CONTINENS.xlsx	ira	B9	1	example
